Course Code,Exam Type,Date(s),Room Info
BED-3115,Hjemmeeksamen,"Utlevering: 24. april 2025 kl. 09:00
Innlevering: 16. mai 2025 kl. 14:00",N/A
BED-3115,Skriftlig skoleeksamen,Dato: 2. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
BED-3901,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-3901H,Oppgave,Innlevering: 2. desember 2024 kl. 14:00,N/A
BED-3901H,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-3902,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-3906,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-3907,Oppgave,Innlevering: 2. desember 2024 kl. 14:00,N/A
BED-3907,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BED-3910,Oppgave,Innlevering: 2. desember 2024 kl. 14:00,N/A
BED-8004,Assignment,Innlevering: 30. mai 2025 kl. 14:00,N/A
BIO-1007,Mappevurdering,Innlevering: 28. november 2024 kl. 14:00,N/A
BIO-1008,Skriftlig skoleeksamen,Dato: 11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-1103,Skriftlig skoleeksamen,Dato: 16. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-1104,Skriftlig skoleeksamen,Dato: 17. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
BIO-1105,Skriftlig skoleeksamen,Dato: 20. november 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.203, bibliotek (Tromsø)"
BIO-1601,Skriftlig skoleeksamen,Dato: 13. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-2002,Oppgave,Innlevering: 28. mai 2025 kl. 14:00,N/A
BIO-2002,Skriftlig skoleeksamen,Dato: 2. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
BIO-2004,Skriftlig skoleeksamen,Dato: 2. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
