Course Code,Exam Type,Date(s),Room Info
MAT-1301,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
MAT-2001,Oppgave,Innlevering: 16. desember 2024 kl. 14:00,N/A
MAT-2100,Skriftlig skoleeksamen,Dato: 19. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
MAT-2200,School exam,Dato: 13. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
MAT-2201,School exam,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
MAT-3001,Portfolio,Innlevering: 2. desember 2024 kl. 14:00,N/A
MAT-3740,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
MAT-3900,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
MAT-3907,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
MAT-3941,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
MAT-3941,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
MFA-1009,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
MFA-1011,Skriftlig skoleeksamen,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
MFA-2006,Skriftlig skoleeksamen,Dato: 15. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
MFA-2007,Muntlig eksamen,Fra 29. november  til 2. desember 2024,N/A
MFA-2008,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
MFA-2009,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MFA-2010,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
MFA-2011,Muntlig eksamen,Dato: 3. desember 2024 kl. 08:00,N/A
MFA-2014,Skriftlig skoleeksamen,Dato: 6. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
MFA-2016,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
MFA-2017,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
MFA-2017,Skriftlig skoleeksamen,Dato: 20. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
MFA-2018,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
MFA-2020,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
MFA-8010,Off campus exam,Innlevering: 30. mai 2025 kl. 14:00,N/A
MFA-8020,Off campus exam,"Utlevering: 2. desember 2024 kl. 09:00
Innlevering: 14. desember 2024 kl. 23:00",N/A
MNF-2001,Mappevurdering,"Utlevering: 15. mai 2025 kl. 08:00
Innlevering: 22. mai 2025 kl. 14:00",N/A
SIK-1003,Skriftlig skoleeksamen,Dato: 27. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
SIK-1506,Oppgave,Innlevering: 17. februar 2025 kl. 14:00,N/A
SIK-1506,Skriftlig skoleeksamen,Dato: 7. mars 2025 kl. 09:00,"(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(HARSTAD): Havnegata 5-7 – Undervisningsrom 9"
SIK-1507,Hjemmeeksamen,"Utlevering: 20. november 2024 kl. 09:00
Innlevering: 27. november 2024 kl. 14:00",N/A
SIK-2001,Assignment,Innlevering: 17. mars 2025 kl. 14:00,N/A
SIK-2002,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
SIK-2011,Assignment,Innlevering: 30. mai 2025 kl. 14:00,N/A
SIK-2012,School exam,Dato: 10. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
SIK-2020,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
SIK-2503,Hjemmeeksamen,"Utlevering: 7. april 2025 kl. 09:00
Innlevering: 14. april 2025 kl. 14:00",N/A
SIK-2508,Hjemmeeksamen,"Utlevering: 18. november 2024 kl. 09:00
Innlevering: 25. november 2024 kl. 14:00",N/A
SIK-2509,Oppgave,Innlevering: 17. februar 2025 kl. 14:00,N/A
SIK-2509,Oppgave,Innlevering: 10. april 2025 kl. 14:00,N/A
SIK-2510,Hjemmeeksamen,"Utlevering: 12. mai 2025 kl. 09:00
Innlevering: 19. mai 2025 kl. 14:00",N/A
SIK-2511,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
